region_code,region_name,pop_total_2021,pop_total_2011,pop_men_2021,pop_men_2011,pop_women_2021,pop_women_2011
EL51,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,562069,608182,275340,299643,286729,308539
EL52,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,1792069,1882108,861420,912693,930649,969415
EL53,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,255056,283689,126711,141779,128345,141910
EL54,ΗΠΕΙΡΟΥ,319543,336856,157092,165775,162451,171081
EL61,ΘΕΣΣΑΛΙΑΣ,687527,732762,336801,362194,350726,370568
EL64,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,505269,547390,252106,277475,253163,269915
EL62,ΙΟΝΙΩΝ ΝΗΣΩΝ,200726,207855,99139,102400,101587,105455
EL63,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,643349,679796,322242,339310,321107,340486
EL65,ΠΕΛΟΠΟΝΝΗΣΟΥ,538366,577903,269285,291777,269081,286126
EL30,ΑΤΤΙΚΗΣ,3792469,3828434,1810987,1845663,1981482,1982771
EL41,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,194136,199231,97178,99984,96958,99247
EL42,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,324542,309015,162576,155865,161966,153150
EL43,ΚΡΗΤΗΣ,617360,623065,304372,308665,312988,314400
